,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
31,"EkoCheras Mall No 693, Batu, 5, Jln Cheras, Taman Mutiara Barat, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0926782,101.7394614,ROOFTOP,ChIJvaM1Vdw1zDERCEBYgTm3xU8,"establishment,point_of_interest,shopping_mall",56000,EkoCheras Mall[26],1,OK
32,"No.6, Jalan Cochrane, Seksyen 90, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1348631,101.7228429,ROOFTOP,ChIJB3uwzD02zDERHQMlA6UmnJU,"establishment,point_of_interest,shopping_mall",55100,MyTOWN Shopping Centre[27],1,OK
33,"8, Jalan Conlay, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1502299,101.7153463,ROOFTOP,ChIJ0bmF6xg3zDERcVT0Cdt-Fao,"establishment,lodging,point_of_interest",50450,8 Conlay[28] (Opening soon),1,OK
34,"156, Jln Ampang, Kuala Lumpur City Centre, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1594766,101.7135149,ROOFTOP,ChIJ____xNA3zDERO4igW3-sa28,"establishment,point_of_interest,shopping_mall",50450,Avenue K Shopping Mall[29],1,OK
35,"Intermark Mall, The Intermark, 348, Jln Tun Razak, Kampung Datuk Keramat, 50400 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1616636,101.720355,ROOFTOP,ChIJVXXIZcU3zDERkpdEfCQBDT8,"establishment,point_of_interest,shopping_mall",50400,Intermark Mall[30],1,OK
36,"Persiaran KLCC, Kuala Lumpur City Centre, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1574804,101.7179388,GEOMETRIC_CENTER,ChIJ_8LAYF03zDER7GXrtzo1Nrs,"establishment,point_of_interest,shopping_mall",50450,M Podium KLCC (Opening soon),1,OK
37,"145, Jln Ampang, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1583721,101.7136865,ROOFTOP,ChIJlRIaD9c3zDERcnwgktmV2cE,"establishment,lodging,point_of_interest",50450,Shoppes At Four Seasons Place[31],1,OK
38,"241, Suria KLCC, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1577167,101.7121716,GEOMETRIC_CENTER,ChIJH5xmLdE3zDERKa4a_IywVck,"establishment,point_of_interest,shopping_mall",50088,Suria KLCC[32],1,OK
39,"29, Jalan Kia Peng, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.15035,101.7203101,ROOFTOP,ChIJi2dXA883zDERFSj64Yed_tk,"establishment,lodging,point_of_interest,real_estate_agency",50450,The Conlay[33] (Opening soon),1,OK
40,"360, Jln Tun Razak, Taman U Thant, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1589303,101.7209621,ROOFTOP,ChIJc51XDnA3zDERKPSkKRzOSpI,"establishment,point_of_interest,shopping_mall",50400,The LINC KL[34],1,OK
41,,,,,,,,The Weld[35],0,ZERO_RESULTS
42,"7, Jalan Damanlela, Pusat Bandar Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1454342,101.6622517,ROOFTOP,ChIJW657walJzDERzv5h8vuchEg,"establishment,point_of_interest",50490,Damansara City Mall (DC Mall)[36],2,OK
43,"699, Jalan Damansara, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.132696,101.6298517,ROOFTOP,ChIJj_dWfzhJzDERI9HaoLGBJq8,"establishment,point_of_interest,shopping_mall",60000,Glo Damansara[37],1,OK
44,"lot 480023, Jalan Beringin, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1484911,101.6606571,ROOFTOP,ChIJc9GTnSw2zDER-VZCnvZT8Og,"establishment,general_contractor,point_of_interest,real_estate_agency",50490,Pavilion Damansara Heights[38] (Opening in Q4 2022),1,OK
45,"Level 31, Menara AIA Capsquare, Jalan Munshi Abdullah, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1541482,101.7001134,GEOMETRIC_CENTER,ChIJ69s5ZyxIzDERCww7H-uT6dI,"establishment,food,point_of_interest,restaurant",50100,CapSquare Centre,1,OK
46,"Jalan Munshi Abdullah, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1552049,101.6980047,GEOMETRIC_CENTER,ChIJl23w5h9JzDERYHGHhlhknmc,"establishment,point_of_interest,shopping_mall",50100,City One Plaza[39],1,OK
47,"Lot RG-B, RG Floor, Pertama Complex, Jalan Tuanku Abdul Rahman, Chow Kit, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1572891,101.6955726,ROOFTOP,ChIJ46t84TFIzDERnoLWLH_Jwa0,"establishment,point_of_interest,shopping_mall",50100,Pertama Complex[40],1,OK
48,"1018, Jln Sultan Ismail, Bandar Wawasan, 54200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1598664,101.7000562,ROOFTOP,ChIJzw7vn65JzDER5r0wpUhcXU4,"establishment,point_of_interest,shopping_mall",54200,Quill City Mall[41],1,OK
49,"190, Jalan Tuanku Abdul Rahman, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1560783,101.6952893,ROOFTOP,ChIJbUbW7y1IzDERi6WYVG8fI5c,"establishment,point_of_interest,shopping_mall",50100,SOGO Kuala Lumpur,1,OK
50,"WILAYAH PERSEKUTUAN, Chow Kit, 50350 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1666712,101.6925216,GEOMETRIC_CENTER,ChIJy4nAbDlJzDER6HZyA4ZtdpE,"establishment,point_of_interest,shopping_mall",50350,Sunway Putra Mall,1,OK
51,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.139003,101.686855,APPROXIMATE,ChIJ5-rvAcdJzDERfSgcL1uO2fQ,"locality,political",,District K @ KL Digital City[42] (Coming soon),1,OK
52,"568, Jln Ipoh, Batu Complex Bussiness Centre, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1892063,101.6807708,ROOFTOP,ChIJsS_IjnVIzDER3khU7BWGt9E,"establishment,lodging,point_of_interest,shopping_mall",51200,Mutiara Complex[43],1,OK
53,"5, Jln Ipoh, Taman Kok Lian, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2024719,101.6717983,ROOFTOP,ChIJ4ypzlM9HzDER74ZKM0oKUpY,"establishment,point_of_interest,shopping_mall",51200,Sungai Mas Plaza[44],1,OK
54,"Jalan Mega Kecil, Taman United, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.081898,101.671394,ROOFTOP,ChIJaU-oFlBKzDERCpuSA8z_yfM,"establishment,food,grocery_or_supermarket,point_of_interest,premise,store,supermarket",58200,Plaza OUG,1,OK
55,"Menara Pearl Point 2 No. 2A, Jalan Sepadu, Off, Jln Klang Lama, Taman United, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0845617,101.6733784,ROOFTOP,ChIJSwoQIphLzDERUmua0iZ1wfg,"establishment,point_of_interest,shopping_mall",58200,Pearl Point Shopping Mall & Pearl Shopping Gallery[45],1,OK
56,"289, Jln Klang Lama, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0949783,101.6740413,ROOFTOP,ChIJxbqlojlKzDERGQxDtymPN28,"establishment,point_of_interest,shopping_mall",58200,The Scott Garden,1,OK
