locations,lat,lng,weight
"Lot 3410 (PT, 1238, Jalan Sultan, Kampung Baru Aulong, 34000 Taiping, Perak, Malaysia",4.85068,100.70685,1
"Ground Floor,Lot-45,HS-4,Phase 2 Sandakan Harbour Square, 90000, Pusat Bandar Sandakan, 90000 Sandakan, Sabah, Malaysia",5.83894,118.1194,1
"Jalan Kolam Air, 80100 Johor Bahru, Johor, Malaysia",1.47345,103.73738,1
"Taman Bendahara, Pengkalan Chepa, Kelantan, Malaysia",6.16424,102.28159,1
"Taman Tasik Sultan Abu Bakar, 26600 Pekan, Pahang, Malaysia",3.54189,103.38743,1
"48000, Selangor, Malaysia",3.36052,101.53617,1
"17493, Jalan Rozhan, 14100 Bukit Mertajam, Pulau Pinang, Malaysia",5.32209,100.47677,1
"13200, Penang, Malaysia",5.54238,100.4509,1
"Kampung Paya Pagar, 28200 Kerayong, Pahang, Malaysia",3.28696,102.45837,1
"1304, 5, Lorong Sekolah, Kampung Paya Luas, 28000 Temerloh, Pahang, Malaysia",3.45127,102.45723,1
"22a, Jalan Tun Mohd Fuad 2, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1403,101.62854,1
"Jalan Tun Hussein Onn, 97000 Bintulu, Sarawak, Malaysia",3.19339,113.0717,1
"88, Pearl Street, 93000 Kuching, Sarawak, Malaysia",1.55857,110.34402,1
"Jalan Kluang, Ayer Hitam, Johor, Malaysia",1.88541,103.1512,1
"Mutiara Rini, Skudai, Johor, Malaysia",1.52453,103.64027,1
"Jalan Meru Bestari A2, 31200 Ipoh, Perak, Malaysia",4.67209,101.0758,1
"70450 Seremban, Negeri Sembilan, Malaysia",2.69945,101.97989,1
"Fasa 3C, 5, Persiaran Kayangan, Seksyen 8, 40000 Shah Alam, Selangor, Malaysia",3.06564,101.49097,1
"Jalan Satok, Kampung Bandarshah, 93400 Kuching, Sarawak, Malaysia",1.55366,110.33407,1
"8-A, Jalan Alor Mengkudu, 05400 Alor Setar, Kedah, Malaysia",6.0962,100.37613,1
"Taman Samudra, 68100 Batu Caves, Selangor, Malaysia",3.22892,101.69313,1
"Seri Manjung, Perak, Malaysia",4.19587,100.66479,1
"Jalan Gong Badak, 21300 Kuala Terengganu, Terengganu, Malaysia",5.37592,103.08414,1
"1, 2, Jalan Kebun, Amj Industrial Park, 41000 Klang, Selangor, Malaysia",3.01234,101.48816,1
"Jln Nipah 2, Kampung Kangkar Tebrau, 81100 Johor Bahru, Johor, Malaysia",1.53124,103.75655,1
"20 1, 2, Jln 18/33A, Taman Sri Serdang, 43300 Seri Kembangan, Selangor, Malaysia",3.00846,101.7144,1
"274C+P3, 16450 Melor, Kelantan, Malaysia",6.00677,102.27023,1
"Jalan Canna, 93350 Kuching, Sarawak, Malaysia",1.51628,110.38509,1
"g 6, 1, Jln Puteri 7/13A, Bandar Puteri, 47100 Puchong, Selangor, Malaysia",3.02109,101.62453,1
"Taman Bukit Kepayang, 70200 Seremban, Negeri Sembilan, Malaysia",2.71537,101.90668,1
"Tingkat 1, Bangunan Koperasi Serbaguna Daerah Jerantut Bhd., Jalan Besar, Pahang, Kampung Sungai Jan, 27000 Jerantut, Pahang, Malaysia",3.93649,102.36003,1
"BQ 106 - 107, MJC Commercial Centre,, Jalan Batu Kawa, Kuching 93250, MJC New Township, 93250 Kuching, Sarawak, Malaysia",1.51563,110.30955,1
"Pekan Klebang, Melaka, Malaysia",2.21034,102.21653,1
"Jln Lingkaran Tengah 2, 53100, Selangor, Malaysia",3.21723,101.73714,1
"73, Jalan Dato Keramat, 10150 George Town, Pulau Pinang, Malaysia",5.41277,100.32607,1
"Level 2, Jalan USJ 21/10, Persiaran Kewajipan, Usj 21, 47630 Subang Jaya, Selangor, Malaysia",3.02632,101.58115,1
"Jalan Stesen Sentral 5, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.13143,101.6833,1
"No 2, 4, Lbh Sungai Pinang 1, George Town, 10300 George Town, Pulau Pinang, Malaysia",5.39776,100.32814,1
"Kuala Lumpur Int'l Airport (KUL), Persiaran Korporat KLIA, 64000 Sepang, Selangor, Malaysia",2.74135,101.70153,1
"Jalan Matang, Petra Jaya, 93050 Kuching, Sarawak, Malaysia",1.5734,110.27714,1
"Jalan Kampung Bakau - Padang Behor, 01000 Kangar, Perlis, Malaysia",6.4353,100.20315,1
"Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",2.72639,101.93695,1
"63, 63-1, Jalan Radin Tengah, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.06886,101.69184,1
"Management Office, Unit T2-3A-3 & Unit T2-3A-3A level 3A IOI City Tower Two Lebuh IRC, Ioi Resort, 62502 Putrajaya, Selangor, Malaysia",2.97066,101.71368,1
"3070, Jalan Bakri, 84000 Muar, Johor, Malaysia",2.04765,102.59568,1
"43000, Selangor, Malaysia",2.92211,101.73292,1
"Jalan Seri Putra 1/9, Bandar Seri Putra, 43000 Kajang, Selangor, Malaysia",2.88785,101.79206,1
"121596, Jalan Gambang, 25150 Kuantan, Pahang, Malaysia",3.78234,103.28482,1
"Kampung Parit Empat, 45400 Sungai Besar, Selangor, Malaysia",3.66368,101.01589,1
"Taman Kota Masai, 81700 Pasir Gudang, Johor, Malaysia",1.48477,103.95266,1
"u16, 3, Persiaran Elektron, Denai Alam, 40160 Shah Alam, Selangor, Malaysia",3.1594,101.51306,1
"Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.11741,101.67805,1
"Aman Central, 1, Darul Aman Hwy, Kampung Lubok Peringgi, 05100 Alor Setar, Kedah, Malaysia",6.12497,100.36646,1
"23, Jalan Tengah, 11950 Bayan Lepas, Pulau Pinang, Malaysia",5.31977,100.28444,1
"Taman Ungku Tun Aminah, 81300 Skudai, Johor, Malaysia",1.5199,103.65864,1
"15050, Jalan Kuala Krai, 16010 Kota Bharu, Kelantan, Malaysia",6.07301,102.23877,1
"Kuala Lumpur Sentral Station, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1344,101.68642,1
"Lot F-74, Tingkat 2, Mentakab Star Mall, No.1, Jalan Star City 1, Star City, 28400 Mentakab, Pahang, Malaysia",3.47126,102.33176,1
"11, Jalan Baru, 13600 Perai, Pulau Pinang, Malaysia",5.3743,100.40709,1
"2, Jalan Medan Ipoh 1A, Taman Ipoh Timur, 31400 Ipoh, Perak, Malaysia",4.61747,101.11695,1
"Jalan Sulaman, 88450 Kota Kinabalu, Sabah, Malaysia",6.04289,116.1477,1
"Lorong Centre Point, Api-api Centre, 88000 Kota Kinabalu, Sabah, Malaysia",5.97809,116.07115,1
"1, Jalan Centre Point, 88000 Kota Kinabalu, Sabah, Malaysia",5.97815,116.07186,1
"82, 84, Jalan SS 15/4d, Ss 15, 47500 Subang Jaya, Selangor, Malaysia",3.07364,101.59056,1
"37, Jalan Pinang 18/B, Seksyen 18, 40200 Shah Alam, Selangor, Malaysia",3.04421,101.51789,1
"Persiaran Kayangan, Seksyen 13, 40100 Shah Alam, Selangor, Malaysia",3.08212,101.54496,1
"Jln Lingkaran Tengah 2, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.21127,101.7442,1
"No.2, Jalan 14/4, Seksyen 14, 46100 Petaling Jaya, Selangor, Malaysia",3.1096,101.637,1
"Jalan 1/19, Seksyen 1, 46000 Petaling Jaya, Selangor, Malaysia",3.08507,101.64675,1
"Persiaran Tasik, Seksyen 14, 40000 Shah Alam, Selangor, Malaysia",3.07066,101.51725,1
"Jalan Sultan Mohamad, 21100 Kuala Terengganu, Terengganu, Malaysia",5.30862,103.12688,1
"K-191, Jalan Kubang Kurus, Kampung Gong Pauh, 24000 Chukai, Terengganu, Malaysia",4.22942,103.41997,1
"62100 Putrajaya, Malaysia",2.91658,101.68506,1
"Jalan Kapar, 42100 Klang, Selangor, Malaysia",3.06702,101.4228,1
"Prima, 5-A, Jalan Teknokrat 5, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.92124,101.65603,1
"Jalan Semariang, Petra Jaya, 93050 Kuching, Sarawak, Malaysia",1.58696,110.33137,1
"5, Jalan Tanah Putih, 25100 Kuantan, Pahang, Malaysia",3.7963,103.31749,1
