locations,lat,lng,weight
"Menara Sme Bank, Jln Sultan Ismail, Chow Kit, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1582896,101.7010919,0.270735021
"SME 1, Block B, Jalan Stesen Sentral 2, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1360317,101.6884755,0.270735021
"Aras1-4, Podium 2,3, Wisma Sumber Asli, 25, Persiaran Perdana, Presint 3, 62574 Putrajaya, Malaysia",2.9142089,101.6856842,0.270735021
"Lot 5377, Jalan Putra Permai, Rizab Melayu Sungai Kuyoh, 43300 Seri Kembangan, Selangor, Malaysia",3.0011599,101.6847743,0.270735021
"Kampung Baru, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1630505,101.706183,0.270735021
"87000 Labuan, Labuan Federal Territory, Malaysia",5.2831456,115.230825,0.270735021
"Putrajaya, Malaysia",2.926361,101.696445,0.270735021
"Persiaran Rimba Permai, Cyber 8, 63000 Cyberjaya, Selangor, Malaysia",2.9108964,101.6502439,0.270735021
"17th Floor, Main Office Tower Financial Park Complex, Jalan Merdeka, 87000, Wilayah Persekutuan Labuan, Sabah, Financial Park, 87000 Victoria, Labuan Federal Territory, Malaysia",5.2766122,115.2491706,0.270735021
"KOMPLEKS KEMENTERIAN KEWANGAN NO.9 PERSIARAN PERDANA, PRESINT 2, PUSAT PENTADBIRAN KERAJAAN PERSEKUTUAN, 62592 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9229813,101.6878917,0.270735021
"3, Persiaran Bukit Kiara, Bukit Kiara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1454818,101.6447528,0.270735021
"Sabah, Malaysia",5.9788398,116.0753199,0.270735021
"Presint 2, 62100 Putrajaya, Malaysia",2.9237115,101.6877902,0.270735021
"516, Persiaran Tuanku Jaâ€™afar, Tasik Perdana, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1410079,101.6830514,0.270735021
"Unit Keusahawanan, Politeknik Banting Selangor Persaiaran Ilmu, Jalan Sultan Abdul Samad, Kampung Sungai Raba, 42700 Banting, Selangor, Malaysia",2.8254988,101.4660555,0.270735021
"Akademi Kepimpinan Pendidikan Tinggi (AKEPT, Lebuh, 71760 Bandar Baru Enstek, Negeri Sembilan, Malaysia",2.7332786,101.779505,0.270735021
"Jalan Gombak, 53100, Selangor, Malaysia",3.2504473,101.7347286,0.270735021
